S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34935.',b'22-Oct-2020 12:00 AM',b'13-Jul-2020 03:30 PM',"b'Const. of Govt. College at Bilaspur (Aharwala) in Yamuna Nagar District. (Pdg. Generator Set) (Pdg. 3D Hologram, Virtual reality based educational modules for post graduate colleges)./ PWD/Elect-KNL/Elect-AMB/100005 / 2020_HRY_135437_1'",b'Haryana',b'2020_HRY_135437_1'
b'34936.',b'18-Aug-2020 12:00 AM',b'13-Jul-2020 03:30 PM',b'CONST.OF C.C ROAD AT PRINCE COLONY AND 3 NO.&amp;#x0d;\nAPPROCH ROAD ANKUR APPARTMENT ROAD AT WARD&amp;#x0d;\nNO.10 Z-02&amp;#x0d;/ 2019205312 / 2020_UAD_81070_3',b'Madhya Pradesh',b'2020_UAD_81070_3'
b'34937.',b'09-Sep-2020 12:00 AM',b'13-Jul-2020 03:30 PM',b'PARWALA Providing Functional Household Tap Connection FHTC under Jal Jeevan Mission. Laying of D.I Pipe line in balance streets and providing Functional Household Tap Connection FHTC in village PARWALA  and all other works contingent thereto./ Laying of D.I Pipe line under JJM Parwala / 2020_HRY_135421_1',b'Haryana',b'2020_HRY_135421_1'
b'34938.',b'18-Aug-2020 12:00 AM',b'13-Jul-2020 03:30 PM',b'Const. of cc road and nalla from saleem house to main road&amp;#x0d;\nPGBT W-13 Z-03&amp;#x0d;/ 2019202533 / 2020_UAD_81073_3',b'Madhya Pradesh',b'2020_UAD_81073_3'
b'34939.',b'14-Jul-2020 12:00 AM',b'13-Jul-2020 03:15 PM',b'Sale of Sugar On Per Qtl. Basis/ GSP/Sale of Sugar/20-21/61 / 2020_Coop_50512_1',b'Punjab',b'2020_Coop_50512_1'
b'34940.',b'25-Jul-2020 03:51 PM',b'13-Jul-2020 03:10 PM',"b'Dismantling and re-erection 16 nos. of side modern lighting poles at various places in Puranapool division division (52) in Charminar Circle-9 and Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 7, dated: 13-07-2020 / 184965'",b'Telegana',b'184965'
b'34921.',b'12-Oct-2020 12:00 AM',b'13-Jul-2020 04:00 PM',b'PROPOSED CONSTRUCTION OF C C ROAD FROM AGNIHOTRI HOUSE TO BALU DAHALE HOUSE IN PRABHAG NO 3 FOR M C PARLI VAIJNATH DIST BEED/ civil department (20) 2020-21 for M C Parli V / 2020_DMA_593610_1',b'Maharashtra',b'2020_DMA_593610_1'
b'34922.',b'04-Sep-2020 12:00 AM',b'13-Jul-2020 04:00 PM',b'Complete Repairs And Maintaince Of Radial Gate Of Size 12X 4 Mtr and its hoist assembly 20 Ton cap - 3Nos by repairing to water lubrication and by pass system and replacing rubber seal air vent pipe system stair case etc at Chikotra project Tal ajara/ E Tender Notic No.7 for 20-21 / 2020_WRDMN_593986_1',b'Maharashtra',b'2020_WRDMN_593986_1'
b'34923.',b'29-Dec-2020 12:00 AM',b'13-Jul-2020 04:00 PM',b'Ownfund/ 27/ME/PMNA/2020-21 / 2020_LSGD_371531_1',b'Kerala',b'2020_LSGD_371531_1'
b'34924.',b'29-Jul-2020 12:00 AM',b'13-Jul-2020 04:00 PM',b'Improvement of Road from Kumarpur Dulal Mandal house to Alanath Mandal House/ 12/SKGP/2020-21 / 2020_ZPHD_289356_1',b'West Bengal',b'2020_ZPHD_289356_1'
b'34925.',b'01-Oct-2020 12:00 AM',b'13-Jul-2020 04:00 PM',"b'Laying of DI pipe line in balance streets, Providing functional Household tap connation (FHTC) in village Dhakwala and all other works contingent thereto/ SE, PHEC, Karnal Memo No. 8081 dt. 23.06.2020 / 2020_HRY_133315_3'",b'Haryana',b'2020_HRY_133315_3'
b'34926.',b'03-Dec-2020 12:00 AM',b'13-Jul-2020 04:00 PM',b'PROPOSED CONSTRUCTION OF C C ROAD IN SURVEY NO 57 IN FRON OF CHAURE HOUSE IN PRABHAG NO 9 FOR M C PARLI VAIJNATH DIST BEED/ civil department (20) 2020-21 for M C Parli V / 2020_DMA_593753_1',b'Maharashtra',b'2020_DMA_593753_1'
b'34927.',b'09-Oct-2020 12:00 AM',b'13-Jul-2020 04:00 PM',"b'RENOVATION AND SPECIAL REPAIR WITH ARCHITECTURAL DEVELOPMENT OF DHEU TOURIST LODGE COMPLEX INCLUDING GENERATOR HOUSE OF BENFISH AT PURI, ORISSA/ BENFISH/MD/NIT- 20(e)/2019-20 (3rd Call) / 2020_BENF_289430_1'",b'West Bengal',b'2020_BENF_289430_1'
b'34928.',b'03-Dec-2020 12:00 AM',b'13-Jul-2020 04:00 PM',b'PROPOSED CONSTRUCTION OF C C ROAD FROM THORAT HOUSE TO U IN PRABHAG NO 9 FOR M C PARLI VAIJNATH DIST BEED/ civil department (20) 2020-21 for M C Parli V / 2020_DMA_593657_1',b'Maharashtra',b'2020_DMA_593657_1'
b'34929.',b'31-Jul-2020 12:31 AM',b'13-Jul-2020 03:58 PM',"b'Repairs  Renovations to Bastidawakhana at Kummariwadi, Shalibanda-48, Charminar, Hyderabad/ 6-4/EE/TSMSIDC/Hyd.Divn/2020-21/           Dt:  09.07.2020 / 184978'",b'Telegana',b'184978'
b'34930.',b'27-Jul-2020 01:53 PM',b'13-Jul-2020 03:55 PM',"b'Providing of 35 nos. PSCC poles (Only) at Upparpalli, Sai Bhavani Colony, Golden Hights colony near Maha Laxmi Apartment road and other locations in Rajendra Nagar division (60) of Rajendra Nagar Circle -11 and Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 9, dated: 13-07-2020 / 184977'",b'Telegana',b'184977'
b'34901.',b'15-Oct-2020 12:00 AM',b'13-Jul-2020 04:00 PM',"b'Drilling of 28 Nos, 150/125/115mm dia 90m deep tubewells With installation of hand pump and construction of platforms in different Villages for creation of Tubewell source in Ashok Nagar Block/ NO 22  /EE/PHED/2020-21/Ashok Nagar 13.07.2020 / 2020_PHED_97694_1'",b'Madhya Pradesh',b'2020_PHED_97694_1'
